"Environment","Trait","MU","Mean","Lower","Upper"
"Ice-on","Juvenile growth","MU1",0.03,-0.13,0.2
"Ice-on","Juvenile growth","MU2",-0.28,-0.48,-0.21
"Ice-on","Juvenile growth","MU3",-0.17,-0.36,0.04
"Ice-on","Juvenile growth","MU4",-0.26,-0.47,-0.06
"Ice-on","Adult growth","MU1",0.31,-0.03,0.66
"Ice-on","Adult growth","MU2",0.52,0.09,1
"Ice-on","Adult growth","MU3",0.57,0.13,1.04
"Ice-on","Adult growth","MU4",-0.15,-0.61,0.3
"Hypoxia","Juvenile growth","MU1",-0.22,-0.32,-0.18
"Hypoxia","Juvenile growth","MU2",-0.02,-0.19,0.04
"Hypoxia","Juvenile growth","MU3",0.02,-0.16,0.08
"Hypoxia","Juvenile growth","MU4",-0.41,-0.59,-0.24
"Hypoxia","Adult growth","MU1",-0.01,-0.16,0.15
"Hypoxia","Adult growth","MU2",0.64,0.37,0.92
"Hypoxia","Adult growth","MU3",0.69,0.42,0.98
"Hypoxia","Adult growth","MU4",0.1,-0.14,0.35
"Nutrition","Juvenile growth","MU1",-0.17,-0.24,-0.1
"Nutrition","Juvenile growth","MU2",-0.1,-0.25,0.06
"Nutrition","Juvenile growth","MU3",0.04,-0.12,0.19
"Nutrition","Juvenile growth","MU4",-0.72,-0.89,-0.55
"Nutrition","Adult growth","MU1",0.01,-0.1,0.12
"Nutrition","Adult growth","MU2",0.55,0.34,0.78
"Nutrition","Adult growth","MU3",0.49,0.29,0.71
"Nutrition","Adult growth","MU4",0.24,0.1,0.43
