"model","convergence","c","c_low_95","c_up_95","exp_c","exp_c_low_95","exp_c_up_95","AIC","delta_AIC","mu"
"no_env",0,NA,NA,NA,NA,NA,NA,5.57923327863087,10.8577831643318,1
"ice_on",0,0.352143241735878,0.131118247587441,0.573168235884314,1.42211221495197,1.140102587722,1.77387822262248,2.60449731075763,7.88304719645857,1
"hypoxia",0,0.338088691028652,0.128268966104099,0.547908415953206,1.40226486620373,1.13685873804468,1.72963156211594,3.14695003851168,8.42549992421262,1
"nutrition",0,0.527750865760549,0.318118294345353,0.737383437175745,1.69511547568653,1.37453885178423,2.09045853609893,-5.27854988570095,0,1
"no_env",1,NA,NA,NA,NA,NA,NA,-3.02068775947292,0.83474293446078,2
"ice_on",0,0.215485033907896,-0.00553943642443383,0.436509504240226,1.24046341789443,0.994475877962776,1.54729694830459,-3.21614125779928,0.639289436134415,2
"hypoxia",0,0.125936348422455,-0.0838687532215221,0.335741450066433,1.13420997173137,0.919551936404797,1.39897727256655,-1.83996623183603,2.01546446209767,2
"nutrition",0,0.231402633912071,0.0217718377785735,0.441033430045568,1.26036660363763,1.02201057366369,1.55431266221691,-3.8554306939337,0,2
"no_env",0,NA,NA,NA,NA,NA,NA,-10.1382734844319,0.81003641601769,3
"ice_on",0,0.132563296612639,-0.095470881024179,0.360597474249457,1.14175128279072,0.908944828810814,1.43418604785921,-9.04176635450856,1.90654354594102,3
"hypoxia",0,-0.295585921739783,-0.586967050553918,-0.00420479292564802,0.744095477998343,0.556011083513236,0.995804034838818,-10.9483099004496,0,3
"nutrition",0,-0.22307283352981,-0.572319064336948,0.126173397277329,0.800056576227969,0.564215468362849,1.13447886677573,-9.26123206776207,1.68707783268751,3
"no_env",0,NA,NA,NA,NA,NA,NA,9.67121383596927,7.27367375022778,4
"ice_on",0,0.146393499571678,-0.0748880991738105,0.367675098317166,1.15765163385813,0.927847307399889,1.44437268361529,10.9259299707146,8.52838988497316,4
"hypoxia",0,0.404091218764656,0.193403607316641,0.614778830212671,1.49794058101558,1.21337242069072,1.84924755663721,4.96545366681943,2.56791358107795,4
"nutrition",0,0.467632579802015,0.257386628647025,0.677878530957005,1.59621081483793,1.29354515170301,1.96969465043501,2.39754008574148,0,4
